document,query_name,n_candidates,correct_rank,is_top1,similarities,ranking,names
agw39d00,CECIL R HATTON,8,1,True,"[0.5709021091461182, -0.0009993165731430054, 0.07009820640087128, -0.052728407084941864, -0.10026171803474426, -0.21314017474651337, -0.08618389070034027, -0.014791574329137802]","[0, 2, 1, 7, 3, 6, 4, 5]","['CECIL R HATTON', 'COLIN STOKES', 'G D SMITH', 'J H SHERRILL', 'J H WINDER', 'S O JONES', 'W STUART LEAKE', 'WM D HOBBS']"
agw39d00,COLIN STOKES,8,1,True,"[0.059144437313079834, 0.6757067441940308, -0.043643880635499954, -0.13707461953163147, -0.1967734545469284, 0.029536016285419464, 0.056440576910972595, 0.04341982305049896]","[1, 0, 6, 7, 5, 2, 3, 4]","['CECIL R HATTON', 'COLIN STOKES', 'G D SMITH', 'J H SHERRILL', 'J H WINDER', 'S O JONES', 'W STUART LEAKE', 'WM D HOBBS']"
agw39d00,G D SMITH,8,1,True,"[-0.058618124574422836, -0.09374353289604187, 0.6912294626235962, 0.13440681993961334, 0.018382176756858826, 0.08733681589365005, -0.0567302331328392, 0.024425659328699112]","[2, 3, 5, 7, 4, 6, 0, 1]","['CECIL R HATTON', 'COLIN STOKES', 'G D SMITH', 'J H SHERRILL', 'J H WINDER', 'S O JONES', 'W STUART LEAKE', 'WM D HOBBS']"
agw39d00,J H SHERRILL,8,1,True,"[-0.11514011770486832, -0.07487015426158905, 0.17196179926395416, 0.6224210262298584, 0.12397518754005432, 0.1161133423447609, 0.024020083248615265, 0.08079598844051361]","[3, 2, 4, 5, 7, 6, 1, 0]","['CECIL R HATTON', 'COLIN STOKES', 'G D SMITH', 'J H SHERRILL', 'J H WINDER', 'S O JONES', 'W STUART LEAKE', 'WM D HOBBS']"
agw39d00,J H WINDER,8,1,True,"[-0.10260509699583054, -0.19990958273410797, 0.004420718178153038, 0.003983195871114731, 0.6474680304527283, 0.06565766036510468, -0.14474785327911377, 0.046604372560977936]","[4, 5, 7, 2, 3, 0, 6, 1]","['CECIL R HATTON', 'COLIN STOKES', 'G D SMITH', 'J H SHERRILL', 'J H WINDER', 'S O JONES', 'W STUART LEAKE', 'WM D HOBBS']"
agw39d00,S O JONES,8,1,True,"[-0.13248398900032043, 0.15490826964378357, 0.021020432934165, 0.04050583764910698, 0.09579114615917206, 0.605751633644104, -0.02017030119895935, -0.012757767923176289]","[5, 1, 4, 3, 2, 7, 6, 0]","['CECIL R HATTON', 'COLIN STOKES', 'G D SMITH', 'J H SHERRILL', 'J H WINDER', 'S O JONES', 'W STUART LEAKE', 'WM D HOBBS']"
agw39d00,W STUART LEAKE,8,1,True,"[-0.08873002231121063, 0.0966702550649643, -0.12646815180778503, 0.008793465793132782, -0.0197610966861248, -0.0144684799015522, 0.7414492964744568, -0.004870245233178139]","[6, 1, 3, 7, 5, 4, 0, 2]","['CECIL R HATTON', 'COLIN STOKES', 'G D SMITH', 'J H SHERRILL', 'J H WINDER', 'S O JONES', 'W STUART LEAKE', 'WM D HOBBS']"
agw39d00,WM D HOBBS,8,1,True,"[-0.040989991277456284, 0.31490471959114075, -0.06642989814281464, -0.12155373394489288, 0.044974248856306076, -0.09045000374317169, -0.04973910376429558, 0.6972413659095764]","[7, 1, 4, 0, 6, 2, 5, 3]","['CECIL R HATTON', 'COLIN STOKES', 'G D SMITH', 'J H SHERRILL', 'J H WINDER', 'S O JONES', 'W STUART LEAKE', 'WM D HOBBS']"
axp01f00_1,E D ALFORD,2,1,True,"[0.6809236407279968, -0.1167878657579422]","[0, 1]","['E D ALFORD', 'T C HSIEH']"
axp01f00_1,T C HSIEH,2,1,True,"[-0.12246176600456238, 0.6200697422027588]","[1, 0]","['E D ALFORD', 'T C HSIEH']"
bji44a00,KATHY A MURPHY,2,1,True,"[0.7030385732650757, -0.03312600031495094]","[0, 1]","['KATHY A MURPHY', 'MARK W COWING']"
bji44a00,MARK W COWING,2,1,True,"[-0.0727609172463417, 0.664561927318573]","[1, 0]","['KATHY A MURPHY', 'MARK W COWING']"
bwu60f00_1,HAWKINS S HOWALD,2,1,True,"[0.595023512840271, -0.19437818229198456]","[0, 1]","['HAWKINS S HOWALD', 'MICHAEL V BUTTE']"
bwu60f00_1,MICHAEL V BUTTE,2,1,True,"[-0.10676722228527069, 0.5578715205192566]","[1, 0]","['HAWKINS S HOWALD', 'MICHAEL V BUTTE']"
cch43f00-page02-var_2,VIGO G NIEL JR,2,1,True,"[0.5623716115951538, 0.14299128949642181]","[0, 1]","['VIGO G NIEL JR', 'WILLIAM GEORGE DUNN']"
cch43f00-page02-var_2,WILLIAM GEORGE DUNN,2,1,True,"[0.027036387473344803, 0.4882812798023224]","[1, 0]","['VIGO G NIEL JR', 'WILLIAM GEORGE DUNN']"
ccl77c00-page02_2,GARY W WORRELL,3,1,True,"[0.5400773286819458, 0.2575344443321228, -0.14594736695289612]","[0, 1, 2]","['GARY W WORRELL', 'MARJORIE P NEWELL', 'WILLIAM C SQUIRES']"
ccl77c00-page02_2,MARJORIE P NEWELL,3,1,True,"[0.18237273395061493, 0.6047166585922241, -0.17816907167434692]","[1, 0, 2]","['GARY W WORRELL', 'MARJORIE P NEWELL', 'WILLIAM C SQUIRES']"
