Rank,Experimento,Configuração,Acc@1neg,Acc@2neg,Acc@3neg,Gap (Mean),Gap (Median)
1,clip_vit_b32_combined_tw05,CLIP-B/32 | infonce+TW0.5,0.9823008849557522,0.9646017699115044,0.9380530973451328,0.2746043288182912,0.3551446571946144
2,clip_vit_b32_combined_tw01,CLIP-B/32 | infonce+TW0.1,0.9823008849557522,0.9557522123893806,0.9292035398230089,0.2880528894126777,0.37656671181321144
3,tinyclip_combined_tw05,TinyCLIP | infonce+TW0.5,0.9911504424778761,0.9557522123893806,0.9292035398230089,0.2571801320523218,0.34119168668985367
4,clip_vit_b32_combined_tw02,CLIP-B/32 | infonce+TW0.2,0.9734513274336283,0.9469026548672567,0.9203539823008849,0.2115023767981441,0.2633541002869606
5,tinyclip_combined_tw02,TinyCLIP | infonce+TW0.2,0.9911504424778761,0.9646017699115044,0.9203539823008849,0.2578871021658261,0.3419254422187805
6,tinyclip_combined_tw04,TinyCLIP | infonce+TW0.4,0.9911504424778761,0.9557522123893806,0.9203539823008849,0.28760999361080253,0.3808993101119995
7,tinyclip_combined_tw01,TinyCLIP | infonce+TW0.1,0.9911504424778761,0.9557522123893806,0.9203539823008849,0.2741183764565332,0.3615996912121773
8,tinyclip_combined_tw03,TinyCLIP | infonce+TW0.3,0.9823008849557522,0.9469026548672567,0.911504424778761,0.27677547007419334,0.365921001881361
9,siglip_combined_tw01,SigLIP | sigmoid+TW0.1,0.9557522123893806,0.9203539823008849,0.911504424778761,0.23892705204174686,0.2838697135448456
10,clip_vit_b32_combined_tw04,CLIP-B/32 | infonce+TW0.4,0.9557522123893806,0.9292035398230089,0.911504424778761,0.28215155270041414,0.3724943734705448
11,tinyclip_infonce,TinyCLIP | infonce,0.9911504424778761,0.9557522123893806,0.911504424778761,0.28867746224180735,0.38256044685840607
12,clip_vit_b32_combined_tw03,CLIP-B/32 | infonce+TW0.3,0.9646017699115044,0.9380530973451328,0.911504424778761,0.2811005222525191,0.36650922894477844
13,clip_vit_b32_infonce,CLIP-B/32 | infonce,0.9557522123893806,0.9203539823008849,0.9026548672566371,0.23166953762161857,0.28927628695964813
